01/07-06:46:02.965404 ,1,527,8,"BAD-TRAFFIC same SRC/DST",,0.0.0.0,,224.0.0.1,,00:14:5E:46:2D:F0,01:00:5E:00:00:01,0x3C,,,,,,1,192,0,32,32768,,,,
01/07-06:46:07.846073 ,1,404,6,"ICMP Destination Unreachable Protocol Unreachable",ICMP,112.140.160.160,,112.140.160.15,,A4:DC:BE:F1:10:7B,00:0C:29:67:4E:0E,0x4A,,,,,,255,192,4963,60,61440,3,2,0,0
01/07-06:46:32.835318 ,1,366,7,"ICMP PING *NIX",ICMP,88.198.46.51,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,61678,84,86016,8,0,15759,1
01/07-06:46:32.835318 ,1,384,5,"ICMP PING",ICMP,88.198.46.51,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,61678,84,86016,8,0,15759,1
01/07-06:46:33.836315 ,1,366,7,"ICMP PING *NIX",ICMP,88.198.46.51,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,61713,84,86016,8,0,15759,2
01/07-06:46:33.836315 ,1,384,5,"ICMP PING",ICMP,88.198.46.51,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,61713,84,86016,8,0,15759,2
01/07-06:46:34.837207 ,1,366,7,"ICMP PING *NIX",ICMP,88.198.46.51,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,61802,84,86016,8,0,15759,3
01/07-06:46:34.837207 ,1,384,5,"ICMP PING",ICMP,88.198.46.51,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,61802,84,86016,8,0,15759,3
01/07-06:46:35.837228 ,1,366,7,"ICMP PING *NIX",ICMP,88.198.46.51,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,61872,84,86016,8,0,15759,4
01/07-06:46:35.837228 ,1,384,5,"ICMP PING",ICMP,88.198.46.51,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,61872,84,86016,8,0,15759,4
01/07-06:46:46.257938 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,5678,255.255.255.255,5678,D4:CA:6D:45:A0:18,FF:FF:FF:FF:FF:FF,0x81,,,,,,64,0,0,115,117760,,,,
01/07-06:47:46.268351 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,5678,255.255.255.255,5678,D4:CA:6D:45:A0:18,FF:FF:FF:FF:FF:FF,0x81,,,,,,64,0,0,115,117760,,,,
01/07-06:48:07.965017 ,1,527,8,"BAD-TRAFFIC same SRC/DST",,0.0.0.0,,224.0.0.1,,00:14:5E:46:2D:F0,01:00:5E:00:00:01,0x3C,,,,,,1,192,0,32,32768,,,,
01/07-06:48:19.407610 ,1,366,7,"ICMP PING *NIX",ICMP,208.64.252.230,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,53,0,0,84,86016,8,0,53334,1
01/07-06:48:19.407610 ,1,384,5,"ICMP PING",ICMP,208.64.252.230,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,53,0,0,84,86016,8,0,53334,1
01/07-06:48:19.607986 ,1,366,7,"ICMP PING *NIX",ICMP,208.64.252.230,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,53,0,0,84,86016,8,0,53846,1
01/07-06:48:19.607986 ,1,384,5,"ICMP PING",ICMP,208.64.252.230,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,53,0,0,84,86016,8,0,53846,1
01/07-06:48:20.608549 ,1,366,7,"ICMP PING *NIX",ICMP,208.64.252.230,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,53,0,0,84,86016,8,0,53846,2
01/07-06:48:20.608549 ,1,384,5,"ICMP PING",ICMP,208.64.252.230,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,53,0,0,84,86016,8,0,53846,2
01/07-06:48:21.606227 ,1,366,7,"ICMP PING *NIX",ICMP,208.64.252.230,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,0,84,86016,8,0,53846,3
01/07-06:48:21.606227 ,1,384,5,"ICMP PING",ICMP,208.64.252.230,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,0,84,86016,8,0,53846,3
01/07-06:48:22.608172 ,1,366,7,"ICMP PING *NIX",ICMP,208.64.252.230,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,53,0,0,84,86016,8,0,53846,4
01/07-06:48:22.608172 ,1,384,5,"ICMP PING",ICMP,208.64.252.230,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,53,0,0,84,86016,8,0,53846,4
01/07-06:48:23.605811 ,1,366,7,"ICMP PING *NIX",ICMP,208.64.252.230,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,0,84,86016,8,0,53846,5
01/07-06:48:23.605811 ,1,384,5,"ICMP PING",ICMP,208.64.252.230,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,0,84,86016,8,0,53846,5
01/07-06:48:39.725113 ,1,366,7,"ICMP PING *NIX",ICMP,208.64.252.230,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,54,0,0,84,86016,8,0,56918,1
01/07-06:48:39.725113 ,1,384,5,"ICMP PING",ICMP,208.64.252.230,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,54,0,0,84,86016,8,0,56918,1
01/07-06:48:39.924679 ,1,366,7,"ICMP PING *NIX",ICMP,208.64.252.230,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,54,0,0,84,86016,8,0,57174,1
01/07-06:48:39.924679 ,1,384,5,"ICMP PING",ICMP,208.64.252.230,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,54,0,0,84,86016,8,0,57174,1
01/07-06:48:40.924226 ,1,366,7,"ICMP PING *NIX",ICMP,208.64.252.230,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,53,0,0,84,86016,8,0,57174,2
01/07-06:48:40.924226 ,1,384,5,"ICMP PING",ICMP,208.64.252.230,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,53,0,0,84,86016,8,0,57174,2
01/07-06:48:41.920744 ,1,366,7,"ICMP PING *NIX",ICMP,208.64.252.230,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,0,84,86016,8,0,57174,3
